分類,Node Type,名稱,用途,後端 Handler,前端設定,前端渲染,備註
基本,Start,開始,流程起點,✅,—(自動),✅,
基本,End,結束,流程終點 支援 detach/cancel/strict,✅,✅,✅,
控制,Branch,分支,條件路由 (7種運算符 AND/OR),✅,✅ 規則編輯器,✅,
控制,Converge,匯合,等待多路匯合 (and/or),✅,—(預設),✅,
控制,Delay,暫停,延遲執行指定時間,✅,✅,✅,
控制,SubFlow,子流程,呼叫其他流程+變數傳遞,✅,✅,✅,
控制,Condition,條件判斷,與 Branch 功能重疊,❌ 無 handler,❌,❌,歷史遺留 可能可刪除
控制,ParallelFork,並行分支,並行執行多路,❌ 無 handler,❌,❌,缺 Fork 端
控制,ParallelJoin,並行匯合,等待所有並行完成,❌ 無 handler,❌,❌,Converge 可替代
控制,Switch,條件分支,多路條件判斷分支,❌ 無 handler,❌,❌,與 Branch 重疊
表單,FormAdapter,簽核,5種簽核模式(單簽/會簽/順簽/加簽/自動),✅ 453行,✅ 完整,✅,
變數,OpSet,設定變數,批次賦值+表達式計算,✅,✅,✅,
變數,OpFieldRead,讀取欄位,表單欄位→變數,✅,✅,✅,
變數,OpFieldWrite,寫入欄位,變數→表單欄位,✅,✅,✅,
變數,FormExp,表單匯出,將表單資料匯出,❌ 無 handler,❌,❌,
通知,Telegram,Telegram 通知,發送 Telegram 訊息,✅,✅,✅,
通知,EmailAdapter,Email 通知,SMTP發信+CC+群組收件,✅,✅,✅,
通知,Notification,通知,系統內部通知,❌ 無 handler,❌,❌,
整合,EmailRelay,Email 轉發,透過 E-MailRelay 發送,✅,✅,✅,
整合,SqlExecutor,SQL 執行,執行 SQL 查詢,❌ 無 handler,⚠️ 有UI框架,✅,有 SQL injection 風險要考慮
系統,SysTelegram,系統 Telegram,系統級 Telegram 通知,✅,✅,✅,
系統,Abandon,中止,強制中止流程,❌ 無 handler,❌,❌,End cancel 模式可能已覆蓋
